id,nome,siglaUf,siglaPartido,idLegislatura
73463,Osmar Serraglio,PR,PP,56
73692,Osmar Terra,RS,MDB,56
204422,Ossesio Silva,PE,REPUBLICANOS,56
141515,Otavio Leite,RJ,PSDB,56
204441,Otoni de Paula,RJ,PSC,56
204475,Ottaci Nascimento,RR,SOLIDARIEDADE,56
204573,Otto Alencar Filho,BA,PSD,56
160556,Padre João,MG,PT,56
160642,Pastor Eurico,PE,PATRIOTA,56
204570,Pastor Gil,MA,PL,56
204553,Pastor Sargento Isidório,BA,AVANTE,56
74160,Patrus Ananias,MG,PT,56
204377,Paula Belmonte,DF,CIDADANIA,56
171617,Paulão,AL,PT,56
141516,Paulo Abi-Ackel,MG,PSDB,56
178860,Paulo Azi,BA,DEM,56
204538,Paulo Bengtson,PA,PTB,56
193726,Paulo Eduardo Martins,PR,PSC,56
160558,Paulo Freire Costa,SP,PL,56
204461,Paulo Ganime,RJ,NOVO,56
204492,Paulo Guedes,MG,PT,56
74574,Paulo Magalhães,BA,PSD,56
141518,Paulo Pereira da Silva,SP,SOLIDARIEDADE,56
74400,Paulo Pimenta,RS,PT,56
133968,Paulo Ramos,RJ,PDT,56
141488,Paulo Teixeira,SP,PT,56
216544,Paulo Vicente Caleffi,RS,PSD,56
90201,Pedro Augusto Bezerra,CE,PTB,56
215045,Pedro Augusto Palareti,RJ,PSD,56
178912,Pedro Cunha Lima,PB,PSDB,56
217330,Pedro Dalua,AP,PSC,56
122974,Pedro Lucas Fernandes,MA,PTB,56
204395,Pedro Lupion,PR,DEM,56
160604,Pedro Uczai,SC,PT,56
178844,Pedro Vilela,AL,PSDB,56
204406,Pedro Westphalen,RS,PP,56
73943,Perpétua Almeida,AC,PCdoB,56
204524,Pinheirinho,MG,PP,56
204529,Policial Katia Sastre,SP,PL,56
73486,Pompeo de Mattos,RS,PDT,56
160601,Pr. Marco Feliciano,SP,PL,56
204390,Professor Alcides,GO,PP,56
204383,Professor Israel Batista,DF,PV,56
204446,Professor Joziel,RJ,PSL,56
204565,Professora Dayane Pimentel,BA,PSL,56
160639,Professora Dorinha Seabra Rezende,TO,DEM,56
160641,Professora Marcivania,AP,PCdoB,56
204467,Professora Rosa Neide,MT,PT,56
178951,Rafael Motta,RN,PSB,56
204567,Raimundo Costa,BA,PL,56
141523,Raul Henry,PE,MDB,56
74161,Reginaldo Lopes,MG,PT,56
205865,Reinhold Stephanes Junior,PR,PSD,56
178925,Rejane Dias,PI,PT,56
178989,Renata Abreu,SP,PODE,56
73801,Renildo Calheiros,PE,PCdoB,56
73788,Ricardo Barros,PR,PP,56
215042,Ricardo da Karol,RJ,PSC,56
204362,Ricardo Guidi,SC,PSD,56
160655,Ricardo Izar,SP,PP,56
213274,Ricardo Silva,SP,PSB,56
178920,Ricardo Teobaldo,PE,PODE,56
204489,Robério Monteiro,CE,PDT,56
152610,Roberto Alves,SP,REPUBLICANOS,56
160653,Roberto de Lucena,SP,PODE,56
204530,Rodrigo Agostinho,SP,PSB,56
204366,Rodrigo Coelho,SC,PSB,56
141531,Rodrigo de Castro,MG,PSDB,56
204480,Rogério Correia,MG,PT,56
160651,Rogério Peninha Mendonça,SC,MDB,56
