id,data,siglaOrgao,aprovacao
2197349-2,2019-04-10,CEXVENEZ,1
2197356-2,2019-04-10,CEXVENEZ,1
946006-75,2019-04-10,CCULT,1
2197394-2,2019-04-10,CCULT,1
2197367-2,2019-04-10,CCULT,1
2197390-4,2019-04-10,CMULHER,1
2197331-2,2019-04-10,CCULT,1
2197232-4,2019-04-10,CMULHER,1
2196942-2,2019-04-10,CCULT,1
2196884-3,2019-04-10,CPD,1
2196728-4,2019-04-10,CMULHER,1
2196551-3,2019-04-10,CMULHER,1
2197348-2,2019-04-10,CEXVENEZ,1
2197172-2,2019-04-10,CSPCCO,1
2197157-2,2019-04-10,CSPCCO,1
2197155-2,2019-04-10,CSPCCO,1
2197082-2,2019-04-10,CSPCCO,1
2190768-21,2019-04-10,CCULT,1
2197369-2,2019-04-10,CLP,1
2197280-2,2019-04-10,CLP,1
2166139-37,2019-04-10,CPD,1
2197415-3,2019-04-10,CESPO,1
2197414-2,2019-04-10,CESPO,1
2197245-3,2019-04-10,CESPO,1
2197011-2,2019-04-10,CTUR,1
2196968-2,2019-04-10,CTUR,1
2196865-2,2019-04-10,CTUR,1
2197378-3,2019-04-10,CESPO,1
2196687-2,2019-04-10,CTUR,1
2196575-2,2019-04-10,CTUR,1
2196516-2,2019-04-10,CTUR,1
2195672-3,2019-04-10,CESPO,1
2173214-35,2019-04-10,CE,1
2136667-43,2019-04-10,CE,1
2190884-43,2019-04-10,CME,1
2196704-2,2019-04-10,CE,1
2197366-2,2019-04-10,CE,1
2197308-2,2019-04-10,CE,1
2197267-2,2019-04-10,CE,1
2197261-2,2019-04-10,CE,1
2197136-2,2019-04-10,CE,1
2197046-2,2019-04-10,CE,1
2197040-2,2019-04-10,CE,1
2196944-2,2019-04-10,CE,1
2173806-33,2019-04-10,CE,1
2196725-2,2019-04-10,CE,1
2196723-2,2019-04-10,CE,1
2075821-52,2019-04-10,CE,1
2196998-3,2019-04-10,CE,1
2197382-3,2019-04-10,CE,1
2197400-2,2019-04-10,CE,1
2197388-2,2019-04-10,CE,1
2197381-2,2019-04-10,CE,1
2197342-2,2019-04-10,CE,1
2197305-2,2019-04-10,CE,1
2197293-2,2019-04-10,CE,1
2197271-2,2019-04-10,CE,1
2197270-2,2019-04-10,CE,1
2197192-2,2019-04-10,CE,1
2197187-2,2019-04-10,CE,1
2197184-2,2019-04-10,CE,1
2197180-2,2019-04-10,CE,1
2197311-3,2019-04-10,CE,1
2197183-3,2019-04-10,CFT,1
2056874-73,2019-04-10,CCJC,1
602764-66,2019-04-10,CCJC,1
2195655-3,2019-04-10,CFFC,1
2195304-2,2019-04-10,CFFC,1
2117775-38,2019-04-10,CSSF,1
2195054-2,2019-04-10,CFFC,1
352989-130,2019-04-10,CSSF,1
2194491-2,2019-04-10,CFFC,1
2195422-3,2019-04-10,CFFC,1
2113503-39,2019-04-10,CCJC,1
2055300-64,2019-04-10,CCJC,1
2196745-2,2019-04-10,CSSF,1
2189814-22,2019-04-10,CME,1
